;BubbleSort;;;;;BubbleSortWithIverson1;;;;;BubbleSortWithIverson2;;;;;InsertionSort;;;;;BinaryInsertionSort;;;;;RadixSort;;;;;CountingSort;;;
;Numbers between the range 0-7;Numbers between the range 0-max;Almost sorted array;Inverse array;;Numbers between the range 0-7;Numbers between the range 0-max;Almost sorted array;Inverse array;;Numbers between the range 0-7;Numbers between the range 0-max;Almost sorted array;Inverse array;;Numbers between the range 0-7;Numbers between the range 0-max;Almost sorted array;Inverse array;;Numbers between the range 0-7;Numbers between the range 0-max;Almost sorted array;Inverse array;;Numbers between the range 0-7;Numbers between the range 0-max;Almost sorted array;Inverse array;;Numbers between the range 0-7;Numbers between the range 0-max;Almost sorted array;Inverse array
1000;3600514;3841941;862764;2139944;;1635555;1865558;6035;2091941;;1534945;1927646;5793;1896341;;286199;367632;4328;716655;;289131;354702;26733;476723;;42963;38984;38635;47724;;7262;;17553;4521
2000;13391761;13246147;3041363;7674170;;5758145;6765754;17380;7386717;;5412460;6817597;20911;7317571;;1141498;1356448;13543;2520382;;993430;1266647;77386;1853506;;96026;102614;84703;83142;;17298;;24988;12953
3000;29972182;30987576;6760929;17505142;;13953860;16160624;33663;16725455;;13660738;16585517;32945;17425279;;2531218;2892873;21246;5658670;;2060735;2491188;106129;4149816;;139462;164524;119987;124657;;25215;;27486;16370
4000;53406222;55970783;12068053;31285864;;29515981;32448046;62515;30659900;;28773866;32984495;50705;29543955;;4481487;5863501;29847;10170710;;3535332;4676669;148399;7295120;;174080;149674;164244;163326;;31340;;30864;20546
5000;84567922;87984636;18830429;48602200;;49496285;54306004;69560;46574242;;50660825;56184853;69462;46166985;;6936285;7966150;41656;15764657;;5352079;6503061;179967;11376598;;248483;217134;228659;448753;;77380;;79459;55041
6000;122372982;127234363;27338652;69710421;;77503379;83851241;98428;67017942;;80206705;87598120;107152;66423939;;9946812;12161463;46241;22604121;;7614782;9230951;226014;16229037;;281080;239272;255210;250198;;47036;;48638;38671
7000;167925026;175461985;36826027;96236434;;113244087;123341954;114599;91373385;;116108363;127373471;114268;90603182;;13599403;15451680;66358;30734141;;10774083;12180376;273776;22988830;;330207;279293;275032;270689;;52763;;45153;38950
8000;219396829;227108669;48022724;124841515;;158455956;167934478;46492497;119747396;;161057306;173020941;43221211;118355080;;17663347;20317134;83743;40154931;;13763187;15716661;315899;28944098;;324897;298726;296427;303954;;64076;;59227;52653
9000;278297641;288694719;60655057;159269458;;226205324;253384671;76675799;183100709;;254721087;273906139;66743000;176455968;;26790958;31859559;113612;65104755;;21843914;24477901;479441;48756295;;400883;392728;409308;457524;;89871;;57757;52634
